name,price,disc_price,brand,product_details,ratings
Aloe Vera 92% Soothing Gel Mist (150ml),RM25,RM19,NATURE REPUBLIC,"Ah, how refreshing! Made from 92% Aloe Vera gel, NATURE REPUBLIC Aloe Vera 92% Soothing Gel Mist is enriched with vitamins and is great for keeping the skin hydrated, soothed and cool throughout the day. The aloe vera used to make this product comes from certified organic farmers in California (CCOF) and is kind to even the most sensitive of skins, making this suitable for all skin types. Whether you like using this to set your makeup or to stay chill on a hot day, this is a definite must-have in your beauty routine!",4.81 stars
AHA BHA PHA 30 Days Miracle Toner (150ml),RM80,RM47,SOME BY MI,NaN,4.55 stars
Time Revolution The First Treatment Essence Rx (150ml) (Renewal),RM150,RM92,MISSHA,NaN,4.76 stars
Multi Deep-Clean Cleanser (150ml),RM80,RM60,LANEIGE,"Take cleansing a step further with LANEIGE Multi Deep-Clean Cleanser. This daily cleanser is formulated to gently strip off makeup, sunscreen, and the most stubborn dead skin cells to rejuvenate the skin. Your skin will also feel moisturized and brighter - thanks to the blueberry extract contained in this cleanser!",4.79 stars
Limited Edition Fruit Masks Mini Variety Pack (6 Sheets),RM18,RM15,A'BLOOM,"Take a fresh, juicy bite out of beauty with A'bloom masks! Get the best of all worlds with this variety pack that features all six variants of A'bloom masks for an overall, well-rounded complexion. *while stocks last
1 x Water-Me-Long: Watermelon and lavender extracts
1 x Avo-Cuddle-Me: Avocado extracts and hibiscus
1 x Ac-Me-Peach: Peach and tea tree extracts
1 x Sparkle-Me-Bright: Lemon and lime extracts
1 x Coco-Me-Up: Coconut extracts
: Blueberry and pomegranate extracts",4.92 stars
Petal Velvet Sunaway (55ml),RM55,RM26,ALTHEA,"Shield your skin from the sun's rays and give it some petal protection with Althea's Petal Velvet Sunaway! Ultra lightweight, this invisible sunscreen is formulated with Hyaluronic Acid that plumps the skin and Damask rose extracts, ensuring that your complexion stays fresh and hydrated throughout the day without any streakiness or a white cast. It has an SPF of 50+ and PA++++, so your skin'll be kept protected all day. As part of the Petal Velvet line, it also contains micro-powder particles that give you a smooth, petal-like complexion.",4.56 stars
Rice & Ceramide Moisture Toner (150ml),RM35,RM22,THE FACE SHOP,"Not your usual, standard, run-of-the-mill toner, The Face Shop's Rice & Ceramide Moisture Toner has a thicker, richer consistency that's reminiscent of a lightweight emulsion or an essence that's great for drier days. Enriched with rice and ceramide extracts, this toner is superb at moisturizing the skin and prepping it for your skincare regime, making sure it stays soft and supple throughout the day. To top it all off, we just love the scent of this product too!",4.53 stars
Water-Me-Long Moisturizing Watermelon Mask (10 Sheets),RM30,RM27,A'BLOOM,"Key ingredient Citrullus Vulgaris (Watermelon) Fruit Extract, Lavandula Angustifolia (Lavender) Extract",4.57 stars
Avo-Cuddle-Me Nourishing Avocado Mask (10 Sheets),RM30,RM27,A'BLOOM,"Key ingredient Adenosine, Persea Gratissima (Avocado) Fruit Extract, Hibiscus Sabdariffa Flower Extract.",4.75 stars
Time Revolution Night Repair Probio Ampoule (50ml) (Renewal),RM150,RM87,MISSHA,The all-time favorite Time Revolution Night Repair Probio Ampoule by Missha is now renewed and improved with an anti-aging formula that contains 10 Probiotics to restore skin elasticity. It also effectively repairs wrinkles and leaves the skin with a luminous glow while protecting the skin! Apply this magical ampoule at night for improved skin in the morning.,4.77 stars
Soothing & Moisture Aloe Vera Foam Cleanser (150ml),RM20,RM15,NATURE REPUBLIC,"Aloe vera is a favorite plant ingredient in traditional Asian households for its skin soothing and moisturizing properties. This makes NATURE REPUBLIC Soothing & Moisture Aloe Vera Foam Cleanser the perfect choice if you want to enjoy all the goodness that aloe vera has to offer while making sure that your skin is well-cleansed. It will effectively freshen up your skin, leaving it soft and moisturized throughout the day.",4.71 stars
Vita Lightbeam Essential Mask EX,RM12,RM5,MEDIHEAL,"Wind down at the end of the day with a mask that not only soothes and pampers the senses but also brightens your complexion too! Mediheal's Vita Lightbeam Essential Masks are comfortable cellulose sheets soaked in an essence packed with vitamin C to even out the skin tone and lighten dark spots, leaving you with a radiant glow. This moisturizing formula also plumps up and hydrates for smooth, bouncy skin.",4.55 stars
Wonder Pore Freshner (250ml),RM40,RM29,ETUDE HOUSE,"Not all heroes wear capes, sometimes they come in the form of conveniently packaged toners! This Wonder Pore one from Etude House knows how to pack a punch when it comes to oily skin and unsightly enlarged pores. Infused with peppermint extract, this works to cleanse away dirt and residue while balancing the skin's natural pH levels, creating a healthy environment for a smooth, fresh complexion that's none to beat. We love how easy-to-use the pump dispenser is too!",4.64 stars
Sparkle-Me-Bright Brightening Lemon Lime Mask (10 Sheets),RM30,RM27,A'BLOOM,"Key ingredient Niacinamide, Citrus Limon (Lemon) Fruit Extract, Citrus Aurantifolia (Lime) Fruit Extract, Camellia Sinensis Leaf Extract",4.72 stars
AC-Me-Peach Anti-Blemish Peach Mask (10 Sheets),RM30,RM27,A'BLOOM,"Key ingredient Prunus Persica (Peach) Fruit Extract, Melaleuca Alternifolia (Tea Tree) Leaf Extract",4.66 stars
Beauty Water (340ml),RM100,RM64,SON&PARK,"Son & Park's illusive Beauty Water isn't your average toner. It tones, cleanses, hydrates and exfoliates the skin, getting it ready to absorb the following steps of your beauty routine to its fullest potential. It's made with skin-loving ingredients that gently brighten the skin too, leaving you with a radiant supple complexion that's loved by K-beauty fanatics and K-pop stars alike. Here's a bonus tip: you can even dispense some of this into a small spray bottle and carry it in your purse to spritz on as a face mist throughout the day. Talk about making the most out of a product!",4.77 stars
Black Sugar Mask Wash Off (100g),RM36,RM26,SKINFOOD,NaN,4.84 stars
Acne Pimple Master Patch (24ea),RM18,RM16,COSRX,"Stickers are back in! You heard that right, but not for your 90's collection; we're talking about CosRX's Acne Pimple Master Patches for your face. These hydrocolloid spots are acne treatments that draw out impurities from troubled spots, effectively ridding the skin of unwanted bacteria and aiding in a smooth, easy heal. It also seals away the open wound from external bacteria, preventing scarring or secondary infections. Each packet comes with 24 patches in 3 different sizes (7mm, 10mm and 12mm) to blast away just about any sized spot!",4.58 stars
Water Sleeping Mask (15ml),RM17,RM12,LANEIGE,NaN,4.42 stars
Water-Me-Long Moisturizing Watermelon Mask (1 Sheet),RM3,NaN,A'BLOOM,"Key ingredient Citrullus Vulgaris (Watermelon) Fruit Extract, Lavandula Angustifolia (Lavender) Extract",4.55 stars
Deep Purifying Black O2 Bubble Mask (1 Sheet),RM6,NaN,PUREDERM,NaN,4.24 stars
Rice Mask Wash Off (100g),RM36,RM26,SKINFOOD,NaN,4.78 stars
Milk Peel Cream Mask (50ml),RM52,RM26,ALTHEA,"Give your skin a big gulp of hydration with the refreshing peeling powers of Althea's Milk Peel Cream Mask! Containing both AHA and BHA extracts, this gentle but effective exfoliator transforms from a clay to a whipped cream lather, whisking away dead skin cells to prevent flakiness. It’s also formulated with casein protein from milk to revitalize and moisturize the skin. The result is radiantly smooth, healthy skin that's bouncy to the touch!",4.85 stars
Real Fresh Skin Detoxer Rose (150ml),RM62,RM29,ALTHEA,"The hustle and bustle of the urban life mean non-stop hectic schedules, but that doesn't mean you can't give your skin the lovin' it needs! Althea's Real Fresh Skin Detoxer is a 10-second, 2-in-1 cleanser pack that showcases real, fresh ingredients and incorporates them into a system that allows a deep, clarifying cleanse while boosting the skin with nutrients and goodness. The Rose edition contains real rose petals and extracts from Grasse roses handpicked from southern France. It helps refine the skin and minimize pores while soothing redness to calm irritations for a healthy, well-rounded complexion.



Designed and made in Korea, with love

With the belief that you deserve the best quality, at affordable prices

Always backed by a 30 day unconditional returns policy",4.57 stars
BHA Blackhead Blaster (8g),RM24,RM17,A'BLOOM,"Banish blackheads now! A'bloom's BHA Blackhead Blaster helps you say bye-bye to the nasties in your pores with a power combo of natural BHA, charcoal and apricot seed pieces, gently exfoliating and deep cleansing the skin. Just swipe on and rinse to reveal a fresh, clean complexion underneath!",4.54 stars
Perfect Moisture_Cream (70ml),RM207,RM51,ONSAEMEEIN,"We love an interesting moisturizer, especially when it makes our skin feel as good as Onsaemeein's Perfect Moisture Cream! This unique formula has a gel texture that transforms into water droplets upon application, before absorbing and plumping up the skin with lots of hydration. Using trehalose as its star ingredient, this moisture-packed gel-cream also soothes irritations, helps to keep signs of aging at bay and brighten dullness for a supple, glowing complexion.",4.53 stars
Teatree Care Solution Essential Mask EX (1 Sheet),RM12,RM5,MEDIHEAL,"Indulge in a pampering session that both nourish your skin as well as beat those spots! Mediheal's Teatree Care Solution Essential Masks are formulated with a mix of tea tree, pine needle, and portulaca oleracea extracts that soothe sensitivities and refresh the skin. They also aid in the quick healing of acne and spots, making them great bedside companions to fix your skin up overnight.",4.67 stars
My Real Skin Facial Mask (1 Sheet),RM4,NaN,COS.W,"Indulge in pamper sessions for your skin without breaking the bank! These pocket-friendly My Real Skin Facial Masks from COS.W are sturdy yet gentle on the skin and are the perfect vessels to impart goodness into your complexion. The essence in these packets contain ingredients that are EWG green level approved to nourish and better your skin, making them great for all skin types. Pick your favorite from 16 different types based on your skin's needs!",4.67 stars
Real Rose Floral Toner (180ml),RM36,NaN,NACIFIC,"Love the smell of roses? Then you'll love indulging your skin with this hydrating toner that's made with real rose petals. Formulated with 92% real rose water, this helps to restore the vitality of the skin, giving you a youthful glow. It also contains centella asiatica extracts to gently exfoliate dead skin cells and soothe redness. The result is clean, fresh skin that's soft and supple to the touch, ready to take on the rest of your skincare regime.",4.57 stars
Fruit Masks Variety Pack (12 Sheets),RM36,RM33,A'BLOOM,"Take a fresh, juicy bite out of beauty with A'bloom masks! Get the best of all worlds with this variety pack that features all four variants of A'bloom masks for an overall, well-rounded complexion.
3 x Water-Me-Long: Contains watermelon and lavender extracts to hydrate, cool and soothe.
3 x Avo-Cuddle-Me: Rich in antioxidants to protect and nourish the skin
3 x Ac-Me-Peach: Infused with peach and tea tree extracts to balance and refresh the complexion
3 x Sparkle-Me-Bright: Packed with vitamin C to brighten and even out the skin",4.81 stars
Bija Trouble Facial Foam (150ml),RM36,NaN,INNISFREE,NaN,4.66 stars
Real Fresh Skin Detoxer Set (10% OFF) (150ml*2ea),RM124,RM52.20,ALTHEA,"The hustle and bustle of the urban life mean non-stop hectic schedules, but that doesn't mean you can't give your skin the lovin' it needs! Althea's Real Fresh Skin Detoxer is a 10-second, 2-in-1 cleanser pack that showcases real, fresh ingredients and incorporates them into a system that allows a deep, clarifying cleanse while boosting the skin with nutrients and goodness.",4.75 stars
Skin Relief Calming Cream (80ml),RM32,RM17,ALTHEA,What is it? A soothing cream that hydrates and repairs damage,4.68 stars
Jeju Volcanic Black Head Out Balm (30g),RM21,NaN,INNISFREE,"Absolutely can't stand painful peel-off pore packs that pull out blackheads by the root? Innisfree's Jeju Volcanic Black Head Out Balm is here to save you the trouble (and the pain)! Formulated with Jeju volcanic scoria, this balm uses an oil pulling method to extract the impurities and sebum, essentially removing and dissolving them as it melts on your skin. Not only does this product purify your pores, it also moisturises your skin, leaving behind supple, fresh skin that looks and feels clean.",4.33 stars
Bare Essentials Set (10% OFF),RM144,RM75.60,ALTHEA,"Great makeup starts from great skin - minimize your base make-up with Althea Bare Essentials! With nourishing ingredients and easy execution, this 3-product regime breaks down and simplifies the K-beauty routine for the urban woman. Here are the 3 debuts of this range: Contour Cleanser , Primer Water , Fixer Cream ",4.67 stars
Black Pearl & Gold Hydrogel Eye Patch (60 Patches),RM59,RM49,PETITFEE,"Can’t get the recommended amount of 8 hours of sleep a night? That’s alright, with Petitfee’s Black Pearl & Gold Hydrogel Eye Patch, you can fake it till you look it! Made with black pearl and gold powder, this eye mask is full of amino acids to help regeneration and purification of the skin, as well as to brighten the dark under eye area. Infused with grapefruit, green tea, wormwood, citron and cucumber extracts, this product nourishes and hydrates the delicate eye area and reduce puffiness.",4.49 stars
Moistfull Collagen Cream (75ml),RM70,RM49,ETUDE HOUSE,"We cannot stress enough on the importance of collagen for your skin! It is the very protein that keeps your skin looking youthful and bouncy. The Moistfull Collagen Cream is akin to having a jar of collagen in your hand. It is made up of 63% super collagen water to give your skin all-day hydration. Its gel texture is pleasant to apply, and does not leave any sticky residue on your skin. Within 120 hours of continued usage, you will see improvements within your skin layers and an increased level of hydration. The best part? This cream keeps the skin hydrated and supple for up to 12 hours!",4.74 stars
Green Tea Balancing Skin EX (200ml),RM80,RM68,INNISFREE,"Here's a fun fact for you: skin can be oily while being severely dehydrated if not taken care of properly. Innisfree's Green Tea Balancing Skin is formulated with green tea and green tea seeds from Jeju Island. This toner removes dead skin cells and impurities, yet ensures that your skin stays moisturised and hydrated. Additional ingredients such as betaine from amino acids as well as other minerals give your skin that extra boost of moisture, and balances out the natural oil-to-water balance of the skin. Our favourite part of this product is its water-like texture that absorbs instantly into your skin without leaving it feeling sticky, making it soft and supple.",4.67 stars
Water Bank Hydro Cream EX (50ml),RM184,RM142,LANEIGE,"Just like a cool, tall glass of water, Laneige's Water Bank Gel Cream EX is a lightweight gel-type moisturiser that provides your skin with instant hydration upon application, increasing the skin's moisture content to 153% and lowering the skin's temperature by 2.4°C. Infused with winter cypress polysaccharide extracts, this product also helps to soothe irritated skin and redness while its lightweight texture helps to control excessive sebum and oil production. You'll be as cool as a cucumber in no time!",4.77 stars
Cica Sleeping Mask (10ml),RM13,NaN,LANEIGE,NaN,5.00 stars
Avo-Cuddle-Me Nourishing Avocado Mask (1 Sheet),RM3,NaN,A'BLOOM,"Key ingredient Adenosine, Persea Gratissima (Avocado) Fruit Extract, Hibiscus Sabdariffa Flower Extract.",4.55 stars
Fixer Cream (50g),RM59,RM34,ALTHEA,"Great makeup starts from great skin - minimize your base make-up with Althea Bare Essentials! With nourishing ingredients and easy execution, this 3-product regime breaks down and simplifies the K-beauty routine for the urban woman. Step 3 is the Fixer Cream. powerful moisturizing properties are packed into this little jar that provides the skin with hydration for up to 24 hours for a fresh, revitalized complexion. Use together with the Contour Cleanser and Primer Water for best results! Don't just cover up - complete your makeup with your skin.",4.66 stars
Petal Velvet Sunaway Mini (12ml),RM12,RM8,ALTHEA,"Shield your skin from the sun's rays and give it some petal protection with Althea's Petal Velvet Sunaway! Ultra lightweight, this invisible sunscreen is formulated with Hyaluronic Acid that plumps the skin and Damask rose extracts, ensuring that your complexion stays fresh and hydrated throughout the day without any streakiness or a white cast. It has an SPF of 50+ and PA++++, so your skin'll be kept protected all day. As part of the Petal Velvet line, it also contains micro-powder particles that give you a smooth, petal-like complexion. Note this is the 12ml travel size version.",4.75 stars
AC-Me-Peach Anti-Blemish Peach Mask (1 Sheet),RM3,NaN,A'BLOOM,"Key ingredient Prunus Persica (Peach) Fruit Extract, Melaleuca Alternifolia (Tea Tree) Leaf Extract",4.92 stars
Sparkle-Me-Bright Brightening Lemon Lime Mask (1 Sheet),RM3,NaN,A'BLOOM,Simply The Zest,4.72 stars
Sunprise Mild Watery Light SPF 50+/PA+++ (50g),RM50,RM36,ETUDE HOUSE,"Sunscreens, while very beneficial for the skin, generally tend to come in gross thick, sticky formulas that feel heavy on the skin. How nasty! Etude House's Sunprise Mild Watery Light is a revolutionary sunscreen that has a gel-type formulation, making it feel light and fresh when applied onto the skin. Containing dwarf ground sedge, aloe vera and portulaca oleracea extracts, this product has an SPF of 50+ and PA+++ to keep your skin protected, hydrated and feeling good all day. Time to bid your old sunblock goodbye!",4.63 stars
Pore Tightening Fresh Toner (300ml),RM71,RM48,RIRE,"Oily, pore-blematic skin has finally met its match with Rire's Pore Tightening Fresh Toner! This refreshing toner controls excess sebum and cleanses deep into the pores, effectively shrinking them and removing blackheads for an even complexion. Don't worry about drying out your skin though: it's got hydrating ingredients to ensure your skin still feels soft and supple to the touch. Use together with Rire Peeling Cotton Pad for the best results!",4.54 stars
Green Tea Seed Eye Cream (30ml),RM109,RM81,INNISFREE,"Green tea does more than give you a midday pick-me-up after a heavy lunch, it's fantastic for your skin too! Innisfree's harnessed the goodness of green tea seeds from Jeju island to provide the skin with moisturization and protection from external factors. This lightweight eye cream absorbs quickly into the skin and contains fresh green tea that's rich in amino acids to hydrate the skin from within. It also helps to prevent moisture loss, keeping your delicate under eye area feeling hydrated and supple all day.",4.60 stars
Jeju Orchid Eye Cream (30ml),RM124,RM92,INNISFREE,NaN,4.75 stars
Super Aqua Max Cream (80ml),RM42,NaN,NATURE REPUBLIC,NaN,4.77 stars
Green Tea Balancing Lotion EX (160ml),RM66,NaN,INNISFREE,"Did you know that oily or combination skins can be dehydrated too? Sometimes, it's due to overzealous cleansing, or the lack of moisturizing, So it's important to ensure that despite your skin type, you keep your skin hydrated. If you're looking for a moisturizer that's lightweight but still hydrates, then try out the Green Tea Balancing Lotion. Formulated with green tea extracts from Jeju Island, it's rich in nutrients and minerals to ensure that your skin is nourished. Additional ingredients like betaine from amino acids gives your skin that extra boost of moisture as well as balance out the oil-to-water levels of the skin. The best part about this product? Its water-like texture absorbs instantly into your skin, making it soft and supple without it being sticky and gross.",4.71 stars
Pure Vitamin C Serum (60ml),RM90,RM66,PURITO,NaN,4.50 stars
Green Tea Balancing Cream EX (50ml),RM76,RM65,INNISFREE,"Green tea does more than give you a midday pick-me-up after a heavy lunch, it's fantastic for your skin too! Innisfree's harnessed the goodness of green tea seeds from Jeju island to provide the skin with moisturization and protection from external factors. This lightweight cream has a whipped texture that allows it to absorb quickly into the skin and contains fresh green tea that's rich in amino acids to hydrate the skin from within. It also helps to prevent moisture loss without feeling sticky to keep your skin feeling soft and supple all day.",4.73 stars
Circle Collagen Mask (1 Sheet),RM4,NaN,PUREDERM,"As time passes, our skin naturally loses the ability to produce collagen, causing our complexions to lack radiance, suppleness, and elasticity. Give your skin the boost it needs with Purederm's Circle Collagen Masks! These cute little packets are filled with an essence containing collagen that's been infused with an array of different ingredients to target your skin's needs. Sit back, relax and pamper your skin for a healthy, happy complexion.",4.43 stars
Primer Water (200ml),RM52,RM30,ALTHEA,NaN,4.66 stars
Everyday Mask (1 Sheet),RM4,NaN,BOOMDEAHDAH,NaN,4.66 stars
Contour Cleanser (150g),RM33,RM20,ALTHEA,"Great makeup starts from great skin - minimize your base make-up with Althea Bare Essentials! With nourishing ingredients and easy execution, this 3-product regime breaks down and simplifies the K-beauty routine for the urban woman. Step 1 is the Contour Cleanser, a rich and foaming cleanser that removes impurities while improving blood circulation for that V-shaped look. It contains micro capsules to gently exfoliate dead skin cells and leaves the skin feeling cool and refreshed too! Use together with the Primer Water and Fixer Cream for best results! Don't just cover up - complete your makeup with your skin. ",4.51 stars
0.2 Therapy Air Mask (1 sheets),RM4,NaN,ETUDE HOUSE,NaN,4.71 stars
Jeju Volcanic Pore Toner 2X (200ml),RM68,NaN,INNISFREE,"Declogging your pores has never been so easy! INNISFREE Jeju Volcanic Pore Toner 2X is infused with Jeju Pine Spear extract for twice the sebum-controlling powers while still keeping the skin soft and hydrated. It also has volcanic ash extract to draw out impurities from the pores, removing dead skin cells and impurities while simultaneously ensures that you stay shine-free. Lightweight and easily absorbed into the skin, this is especially great for those of us with oily complexions to keep the greasiness at bay!",4.79 stars
Intensive Triple Care Sunscreen SPF50+ PA++++ (50ml),RM58,NaN,INNISFREE,"We know why it’s important to put on sunscreen, but more often than not, we don’t. Keep your complexion protected with Innisfree’s Perfect UV Protection Cream Triple Care, a 3-in-1 sunscreen that's perfect for any occasion. Infused with sunflower oil and Jeju green tea extracts, this sunscreen keeps the skin healthy and moisturized while aiding in controlling sebum production so it'll last all day. It also has an SPF of 50+ and PA+++ to keep the skin protected, while its anti-aging and brightening properties ensure the skin says supple and radiant throughout the day.",4.60 stars
AHA/BHA Clarifying Treatment Toner (150ml),RM63,RM48,COSRX,"When it comes to being toned, COSRX's AHA/BHA Clarifying Treatment Toner is a heavyweight champion! Using a special mix of AHA (from apple fruit water) and BHA (from willow bark water), this mild but effective toner exfoliates away dead skin cells and remove impurities, preventing the formation of whiteheads and blackheads too. It also contains Allantoin to moisturize the skin and improve its overall health. You'll be left with skin that's clearer, brighter and smoother!",4.59 stars
Low PH Good Morning Gel Cleanser (150ml),RM50,RM42,COSRX,"Are you a morning person? Now you can be with CosRX's Low PH Good Morning Gel Cleanser! This specially formulated gel cleanser is slightly acidic to suit the skin's natural pH level for a healthy environment. It also helps to exfoliate dead skin cells, shrink enlarged pores and treats blemishes for a fresh, flawless complexion. Best of all, it doesn't dehydrate the skin and the formula is super gentle, making it suitable even for those of us with sensitive skin.",4.76 stars
Skin Relief Calming Cream (80ml),RM32,RM17,ALTHEA,What is it? A soothing cream that hydrates and repairs damage,4.68 stars
Bija Trouble Facial Foam (150ml),RM36,NaN,INNISFREE,NaN,4.66 stars
Real Fresh Skin Detoxer Set (10% OFF) (150ml*2ea),RM124,RM52.20,ALTHEA,"The hustle and bustle of the urban life mean non-stop hectic schedules, but that doesn't mean you can't give your skin the lovin' it needs! Althea's Real Fresh Skin Detoxer is a 10-second, 2-in-1 cleanser pack that showcases real, fresh ingredients and incorporates them into a system that allows a deep, clarifying cleanse while boosting the skin with nutrients and goodness.",4.75 stars
Bare Essentials Set (10% OFF),RM144,RM75.60,ALTHEA,"Great makeup starts from great skin - minimize your base make-up with Althea Bare Essentials! With nourishing ingredients and easy execution, this 3-product regime breaks down and simplifies the K-beauty routine for the urban woman. Here are the 3 debuts of this range: Contour Cleanser , Primer Water , Fixer Cream ",4.67 stars
Moistfull Collagen Cream (75ml),RM70,RM49,ETUDE HOUSE,"We cannot stress enough on the importance of collagen for your skin! It is the very protein that keeps your skin looking youthful and bouncy. The Moistfull Collagen Cream is akin to having a jar of collagen in your hand. It is made up of 63% super collagen water to give your skin all-day hydration. Its gel texture is pleasant to apply, and does not leave any sticky residue on your skin. Within 120 hours of continued usage, you will see improvements within your skin layers and an increased level of hydration. The best part? This cream keeps the skin hydrated and supple for up to 12 hours!",4.74 stars
Jeju Volcanic Black Head Out Balm (30g),RM21,NaN,INNISFREE,"Absolutely can't stand painful peel-off pore packs that pull out blackheads by the root? Innisfree's Jeju Volcanic Black Head Out Balm is here to save you the trouble (and the pain)! Formulated with Jeju volcanic scoria, this balm uses an oil pulling method to extract the impurities and sebum, essentially removing and dissolving them as it melts on your skin. Not only does this product purify your pores, it also moisturises your skin, leaving behind supple, fresh skin that looks and feels clean.",4.33 stars
Black Pearl & Gold Hydrogel Eye Patch (60 Patches),RM59,RM49,PETITFEE,"Can’t get the recommended amount of 8 hours of sleep a night? That’s alright, with Petitfee’s Black Pearl & Gold Hydrogel Eye Patch, you can fake it till you look it! Made with black pearl and gold powder, this eye mask is full of amino acids to help regeneration and purification of the skin, as well as to brighten the dark under eye area. Infused with grapefruit, green tea, wormwood, citron and cucumber extracts, this product nourishes and hydrates the delicate eye area and reduce puffiness.",4.49 stars
Green Tea Balancing Skin EX (200ml),RM80,RM68,INNISFREE,"Here's a fun fact for you: skin can be oily while being severely dehydrated if not taken care of properly. Innisfree's Green Tea Balancing Skin is formulated with green tea and green tea seeds from Jeju Island. This toner removes dead skin cells and impurities, yet ensures that your skin stays moisturised and hydrated. Additional ingredients such as betaine from amino acids as well as other minerals give your skin that extra boost of moisture, and balances out the natural oil-to-water balance of the skin. Our favourite part of this product is its water-like texture that absorbs instantly into your skin without leaving it feeling sticky, making it soft and supple.",4.67 stars
